"","ctryname","aclpcode","cowcode","cowcode2","ccdcodelet","ccdcodenum","wdicode","imf_code","politycode","bankscode","dpicode","uncode","un_region","un_region_name","un_continent","un_continent_name","aclp_region","ccode"
"916","Bosnia and Herzegovina",150,346,346,"BIH",20,"BIH",963,346,107,"BIH",70,39,"Southern Europe",150,"Europe",9,346
"934","Botswana",4,571,571,"BWA",28,"BWA",616,571,110,"BWA",72,18,"Southern Africa",2,"Africa",1,571
"977","Brazil",68,140,140,"BRA",24,"BRA",223,140,120,"BRA",76,5,"South America",19,"Americas",7,140
"1040","Brunei Darussalam",151,835,835,"BRN",26,"BRN",516,835,125,"BRN",96,35,"South-Eastern Asia",142,"Asia",4,835
"1065","Bulgaria",103,355,355,"BGR",17,"BGR",918,355,130,"BGR",100,151,"Eastern Europe",150,"Europe",9,355
"1128","Burkina Faso",5,439,439,"BFA",15,"BFA",748,439,1230,"BFA",854,11,"Western Africa",2,"Africa",1,439
"1177","Burundi",6,516,516,"BDI",12,"BDI",618,516,150,"BDI",108,14,"Eastern Africa",2,"Africa",1,516
"1224","Cambodia",152,811,811,"KHM",93,"KHM",522,811,160,"KHM",116,35,"South-Eastern Asia",142,"Asia",4,811
"1280","Cameroon",7,471,471,"CMR",35,"CMR",622,471,170,"CMR",120,17,"Middle Africa",2,"Africa",1,471
"1329","Canada",52,20,20,"CAN",30,"CAN",156,20,180,"CAN",124,21,"Northern America",19,"Americas",10,20
"1392","Cape Verde",8,402,402,"CPV",39,"CPV",624,402,185,"CPV",132,11,"Western Africa",2,"Africa",1,402
"1426","Central African Republic",9,482,482,"CAF",29,"CAF",626,482,190,"CAF",140,17,"Middle Africa",2,"Africa",1,482
"1475","Chad",10,483,483,"TCD",168,"TCD",628,483,210,"TCD",148,17,"Middle Africa",2,"Africa",1,483
"1524","Chile",69,155,155,"CHL",32,"CHL",228,155,220,"CHL",152,5,"South America",19,"Americas",7,155
"1587","China",79,710,710,"CHN",33,"CHN",924,710,230,"CHN",156,30,"Eastern Asia",142,"Asia",3,710
"1650","Colombia",70,100,100,"COL",37,"COL",233,100,240,"COL",170,5,"South America",19,"Americas",7,100
"1713","Comoros",11,581,581,"COM",38,"COM",632,581,245,"COM",174,14,"Eastern Africa",2,"Africa",1,581
"1747","Congo (Brazzaville, Republic of Congo)",12,484,484,"COG",36,"COG",634,484,250,"COG",178,17,"Middle Africa",2,"Africa",1,484
"1796","Costa Rica",53,94,94,"CRI",40,"CRI",238,94,270,"CRI",188,13,"Central America",19,"Americas",7,94
"1859","Cote d'Ivoire",21,437,437,"CIV",34,"CIV",662,437,580,"CIV",384,11,"Western Africa",2,"Africa",1,437
"1908","Croatia",153,344,344,"HRV",76,"HRV",960,344,275,"HRV",191,39,"Southern Europe",150,"Europe",9,344
