country,countryn,year,f,ext_type,oth_exclusions,CAPNAME,CAPLONG,CAPLAT,cowcodes2,cowcode2,ccdcodelet,ccdcodenum,wdicode,imf_code,politycode,bankscode,dpicode,uncode,un_region,un_region_name,un_continent,un_continent_name,aclp_region,ccode
142,Afghanistan,1997,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1998,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1999,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,2000,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,2001,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,2002,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,2003,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,2004,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,2005,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,2006,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,2007,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,2008,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
143,Albania,1870,NA,NA,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1890,NA,NA,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1900,NA,NA,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1910,NA,NA,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1912,NA,NA,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1913,NA,NA,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1914,NA,NA,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1915,NA,NA,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1916,NA,NA,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1917,NA,NA,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1918,NA,NA,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1919,NA,NA,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1920,7,1,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1921,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1922,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1923,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1924,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1925,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1926,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1927,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1928,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1929,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1930,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1931,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1932,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1933,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1934,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1935,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1936,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1937,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1938,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1939,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1940,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1941,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1942,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1943,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1944,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1945,7,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1946,72,2,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1947,72,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1948,72,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1949,72,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1950,72,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1951,72,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
143,Albania,1952,72,0,NA,Tirane,19.81889,41.3275,339,339,ALB,3,ALB,914,339,20,ALB,8,39,Southern Europe,150,Europe,9,339
